protocol_type,session_id,ra,rb,alice_response,bob_response,success,timestamp,response_time,attack_flag,nonce_entropy,is_replay,is_random_guess
one-way,0,,17e209d24556268cb05d972100f41678,5255ce736d7fbe9a99bbcaa7d8eefdc2c1522b6156b70e2a57a640fb37b978c3ff6a47f8fcc0e9cb5d597a2ad12a84a8,,True,1762228924.9421713,0.03612828254699707,False,4.0,False,False
one-way,1,,d8b218fc21ac9447c39271d9945f4303,8411f5c8c785cb94b3fb58a1f369d11242da49079b7665428ecd77c2bd427b468637c47ed3dd28daf9a80af59e703159,,True,1762228924.9845197,0.0015134811401367188,False,3.875,False,False
one-way,3,,4953d133e160c9162ea19b1878c30463,d941b5a710bacfd3bd3436b4833ad11344ec4467f5eb29d59398987b2863940da2d6cc28753ddc966c8df5b07e97a842,,True,1762228925.4995568,0.0012869834899902344,False,4.0,False,False
one-way,4,,0a7ab6f8976232c6b77aa5768980c8f0,,,False,1762228925.5066462,0.0010700225830078125,True,,True,False
one-way,8,,69dba5c49cc2b1d5cedd91dda3eee8e5,,,False,1762228927.0367181,0.0014851093292236328,True,,True,False
one-way,12,,2293e858bdb91136cb96c32e986373c1,e468e62f1c18f9f311a3c8e56a211e9b3a1f0bbbc612ff6d68ecb3d441746df0cdc60ce8549172bba38da90459863fa9,,True,1762228928.56838,0.0014388561248779297,False,4.0,False,False
one-way,13,,44597328ebdb1a02ddaf9f3fd8f2fd2a,bdfd763d8d7413a23436a44210ad8043f86966d9a1c7c8a884346819fbeb1c6db058e6927c866a04ae091b7cb023bbba,,True,1762228928.5751784,0.0011959075927734375,False,4.0,False,False
one-way,14,,3a387b4d63f66e902afcd7210675786b,,,False,1762228928.5823534,0.0008521080017089844,True,,True,False
one-way,17,,ac726ff042242ea11ba62cf5a0e93032,165785e0bded496cd1c7e1e6d8e3dff7a5eaaed1bcda9f85cd9ed5bda4b3c8c531c238284f75167de387ae3b9d8b505a,,True,1762228929.6049914,0.001394033432006836,True,4.0,False,True
one-way,19,,8e9227b14c556cfabd161e4b71e127ab,b39d4bffd4b59853f9a5e86b5ca317ed43f4c569b5a92c799da03968194bfe637e030040aab3f7fb59ff30005d35aad5,,True,1762228930.119983,0.001455545425415039,False,3.875,False,False
two-way,5,dd1168be855f3ad7e23957e2a2c86374,01d0771cfedea881537907f82ca6a353,d126701a68a9b655148874476c13d16a8bcf67c6a9b21d5ab327585127105b2701e2ea5776f4937a5db477f77da41ced,cb7189eb9dbce942e2f054658ad75b513120f6c4e2e9012b7b7a2e9e7a80baca43ef147dad61b2254c26e09591776966a46291b041739f802624de1a502fdd4d,True,1762228925.513551,,False,4.875,False,False
